_id__$oid	course	semester	count	lastUpdated__$date	lastStatus
5a13abb1ce2097cd143d8558	OIDD-291-411	2018A	20	2018-02-10T21:30:09.867Z	FALSE
5a13abbbce2097cd143d85e3	ACCT-102-005	2018A	7	2018-02-10T21:30:21.277Z	FALSE
5a13abbece2097cd143d8610	BIOL-102-001	2018A	1	2017-11-30T13:10:03.215Z	FALSE
5a13abd7ce2097cd143d87a4	BEPP-250-201	2018A	15	2018-02-10T21:30:14.252Z	FALSE
5a13abd8ce2097cd143d87af	PSCI-333-401	2018A	7	2018-02-10T21:30:03.521Z	FALSE
5a13abd9ce2097cd143d87bb	CIMS-206-401	2018A	3	2018-02-10T21:30:03.294Z	FALSE
5a13abdcce2097cd143d87ed	BEPP-250-202	2018A	15	2018-02-10T21:30:05.432Z	FALSE
5a13abe0ce2097cd143d8822	SPAN-140-315	2018A	8	2018-02-10T21:30:02.000Z	FALSE
5a13abe2ce2097cd143d8860	ECON-002-002	2018A	19	2018-02-10T21:30:04.312Z	FALSE
5a13abe6ce2097cd143d8884	ACCT-101-001	2018A	11	2018-02-10T21:30:11.142Z	FALSE
5a13abe9ce2097cd143d88a9	LING-001-001	2018A	30	2018-02-10T21:30:02.791Z	FALSE
5a13abface2097cd143d89bd	MGMT-224-001	2018A	2	2017-12-08T18:50:03.035Z	TRUE
5a13abfbce2097cd143d89c3	CHIN-012-004	2018A	19	2018-02-10T21:30:02.363Z	TRUE
5a13abfcce2097cd143d89cf	AFRC-187-301	2018A	1	2017-12-22T07:00:09.684Z	TRUE
5a13abffce2097cd143d8a28	CHIN-012-005	2018A	8	2017-12-24T21:10:03.252Z	FALSE
5a13ac0ace2097cd143d8ac9	BIBB-109-406	2018A	5	2018-02-10T21:30:15.195Z	FALSE
5a13ac0bce2097cd143d8acf	ACCT-101-206	2018A	1	2017-12-08T06:00:06.583Z	TRUE
5a13ac0fce2097cd143d8b0c	SPAN-140-314	2018A	6	2018-02-10T21:30:01.945Z	FALSE
5a13ac11ce2097cd143d8b2c	OIDD-101-204	2018A	38	2018-02-10T21:30:02.223Z	FALSE
5a13ac16ce2097cd143d8b8f	BIBB-109-401	2018A	20	2018-02-10T21:30:18.907Z	FALSE
5a13ac23ce2097cd143d8c33	MATH-104-001	2018A	6	2018-02-03T19:50:08.752Z	TRUE
5a13ac2dce2097cd143d8cbd	OIDD-101-207	2018A	16	2018-02-10T21:30:15.246Z	FALSE
5a13ac31ce2097cd143d8cec	FNCE-205-001	2018A	2	2017-11-30T16:05:03.633Z	TRUE
5a13ac3ece2097cd143d8dc6	FNCE-254-001	2018A	3	2018-02-10T21:30:24.846Z	FALSE
5a13ac47ce2097cd143d8e3e	BIOL-102-111	2018A	1	2017-11-29T05:56:04.148Z	TRUE
5a13ac48ce2097cd143d8e54	ECON-235-001	2018A	21	2018-02-10T21:30:01.941Z	FALSE
5a13ac6dce2097cd143d903e	EALC-064-301	2018A	3	2018-02-10T21:30:02.000Z	FALSE
5a13acccce2097cd143d95a1	MATH-104-212	2018A	2	2018-02-10T21:30:18.169Z	FALSE
5a13acd2ce2097cd143d95d7	CIS-505-001	2018A	6	2018-02-10T21:30:08.518Z	FALSE
5a13acdece2097cd143d96a0	MEAM-101-103	2018A	5	2018-02-10T21:30:16.935Z	FALSE
5a13acf7ce2097cd143d97e0	ESE-224-001	2018A	2	2017-12-12T05:20:06.253Z	FALSE
5a13acfece2097cd143d985c	CIS-419-401	2018A	4	2018-02-10T21:30:11.933Z	FALSE
5a13ad00ce2097cd143d9863	CHIN-232-001	2018A	1	2017-11-30T17:00:03.608Z	TRUE
5a13ad0bce2097cd143d98ed	MKTG-351-401	2018A	3	2018-02-10T21:30:23.326Z	FALSE
5a13ad14ce2097cd143d9982	MKTG-351-403	2018A	1	2017-11-30T15:30:03.544Z	FALSE
5a13ad30ce2097cd143d9b18	MKTG-101-001	2018A	123	2018-02-10T21:30:03.380Z	FALSE
5a13ad3bce2097cd143d9ba7	BIBB-060-301	2018A	21	2018-02-10T21:30:02.032Z	FALSE
5a13ad3dce2097cd143d9bb2	MKTG-101-203	2018A	34	2018-02-10T21:30:14.405Z	FALSE
5a13ad3ece2097cd143d9bda	STAT-430-401	2018A	43	2018-02-10T21:30:05.714Z	FALSE
5a13ad47ce2097cd143d9c68	MKTG-101-204	2018A	18	2018-02-10T21:30:02.046Z	FALSE
5a13ad54ce2097cd143d9d13	CIS-519-401	2018A	6	2018-02-10T21:30:03.952Z	FALSE
5a13ad58ce2097cd143d9d58	STAT-476-403	2018A	18	2018-02-10T21:30:02.079Z	TRUE
5a13ad5dce2097cd143d9d8c	ECON-212-001	2018A	4	2018-02-10T21:30:02.127Z	FALSE
5a13ad63ce2097cd143d9dfb	OIDD-236-001	2018A	12	2018-02-10T21:30:02.158Z	FALSE
5a13add4ce2097cd143da3d5	SPAN-130-301	2018A	1	2018-02-10T21:30:02.181Z	FALSE
5a13add7ce2097cd143da40e	LGST-227-001	2018A	22	2018-02-10T21:30:02.212Z	FALSE
5a13ade3ce2097cd143da4ae	PSYC-440-601	2018A	8	2018-02-10T21:30:24.364Z	FALSE
5a13adf8ce2097cd143da5c9	SAST-180-401	2018A	18	2018-02-10T21:30:04.695Z	FALSE
5a13ae0ace2097cd143da6b6	ANTH-347-301	2018A	10	2018-02-06T01:40:24.289Z	FALSE
5a13ae15ce2097cd143da74f	OIDD-215-001	2018A	1	2017-11-29T05:55:57.755Z	TRUE
5a13ae21ce2097cd143da7f7	ITAL-120-303	2018A	1	2017-11-29T20:50:04.101Z	FALSE
5a13ae32ce2097cd143da8ed	GEOL-130-001	2018A	121	2018-02-10T21:30:02.223Z	FALSE
5a13ae37ce2097cd143da922	PHIL-008-601	2018A	4	2018-02-10T21:30:09.765Z	FALSE
5a13ae3bce2097cd143da984	BIBB-421-301	2018A	35	2018-02-10T21:30:02.261Z	FALSE
5a13ae4fce2097cd143daaa1	MGMT-291-406	2018A	9	2018-02-10T21:30:02.318Z	FALSE
5a13ae5ece2097cd143dab5f	ARAB-034-401	2018A	1	2017-11-29T05:56:07.624Z	TRUE
5a13aea9ce2097cd143daf61	CIS-121-001	2018A	11	2018-02-10T21:30:07.977Z	FALSE
5a13aeafce2097cd143dafc9	CHIN-032-001	2018A	1	2017-11-29T05:56:08.925Z	TRUE
5a13aeb5ce2097cd143db03b	PPE-153-601	2018A	3	2017-11-30T18:05:11.080Z	FALSE
5a13aec1ce2097cd143db0d6	CIMS-061-402	2018A	2	2018-01-19T11:50:11.814Z	TRUE
5a13aec5ce2097cd143db101	CHEM-251-204	2018A	17	2018-02-10T21:30:15.627Z	FALSE
5a13aed7ce2097cd143db1fc	FNAR-343-401	2018A	1	2017-11-29T05:55:59.072Z	TRUE
5a13aeecce2097cd143db324	HSOC-335-401	2018A	6	2018-02-10T21:30:05.765Z	FALSE
5a13af0ece2097cd143db50d	MGMT-104-001	2018A	47	2018-02-10T21:30:04.439Z	FALSE
5a13af4fce2097cd143db889	PHIL-271-401	2018A	5	2018-02-10T21:30:23.379Z	FALSE
5a13af52ce2097cd143db8b2	EAS-595-001	2018A	4	2018-02-10T21:30:08.720Z	FALSE
5a13af55ce2097cd143db8ef	MEAM-101-104	2018A	2	2018-02-10T21:30:21.663Z	FALSE
5a13af7bce2097cd143dbac4	NELC-254-401	2018A	2	2018-02-10T21:30:02.426Z	FALSE
5a13af9bce2097cd143dbc96	HCMG-101-001	2018A	1	2017-11-29T05:56:10.541Z	TRUE
5a13af9dce2097cd143dbcba	PSYC-462-301	2018A	2	2018-02-10T21:30:16.884Z	FALSE
5a13af9dce2097cd143dbcc1	MATH-312-002	2018A	21	2018-02-10T21:30:04.821Z	FALSE
5a13afbcce2097cd143dbe66	NURS-163-113	2018A	1	2018-02-10T21:30:02.426Z	FALSE
5a13afccce2097cd143dbf52	NURS-163-202	2018A	1	2018-01-23T17:10:04.442Z	TRUE
5a13afdece2097cd143dc04f	BEPP-203-001	2018A	2	2017-12-08T20:00:04.005Z	FALSE
5a13afe0ce2097cd143dc08b	PSCI-110-001	2018A	13	2018-02-10T21:30:07.494Z	FALSE
5a13afeace2097cd143dc13b	BEPP-203-002	2018A	1	2017-12-08T21:10:03.956Z	FALSE
5a13afebce2097cd143dc146	PSCI-110-201	2018A	9	2018-02-10T21:30:03.381Z	FALSE
5a13aff0ce2097cd143dc1a2	BEPP-208-401	2018A	3	2018-02-10T21:30:02.459Z	TRUE
5a13aff1ce2097cd143dc1a8	PSCI-110-202	2018A	3	2018-02-10T21:30:09.357Z	FALSE
5a13aff3ce2097cd143dc1f9	SOCI-270-401	2018A	2	2018-02-10T21:30:02.483Z	FALSE
5a13aff7ce2097cd143dc235	BEPP-208-402	2018A	3	2018-02-10T21:30:02.572Z	TRUE
5a13aff7ce2097cd143dc239	CIS-110-207	2018A	1	2018-02-10T21:30:02.593Z	TRUE
5a13affbce2097cd143dc25f	GSWS-002-601	2018A	9	2018-02-10T21:30:23.097Z	FALSE
5a13affcce2097cd143dc27e	URBS-270-401	2018A	8	2018-02-10T21:30:02.637Z	FALSE
5a13b00ece2097cd143dc3cb	WRIT-021-301	2018A	4	2018-02-10T21:30:02.639Z	FALSE
